Hole,Tee,Pin
1,Alpha 1 Long,Red
2,Alpha 2 Long,Alpha 3 elevated basket 
3,Alpha 4 Long,Either basket
4,Alpha 5 Long,Yellow basket
5,Alpha 6 Long,Red basket
6,Alpha 7 Short,Alpha 13 red basket 
7,Alpha 14 Short,Alpha 13 yellow basket
8,Alpha 14 Long,Red basket
9,Alpha 15 Long,Alpha 8 red basket
10,Alpha 9 Long,Yellow
11,Alpha 10 Long,Yellow
12,Alpha 11 Long,Alpha 18 Red
13,Barwick 1,Barwick 1
14,Barwick 18,Barwick 18
15,Barwick 10,Barwick 10
16,Barwick 2,Barwick 2
17,Barwick 11,Barwick 11
18,Barwick 15,Barwick 15
19,Alpha 17 Long,Yellow
20,Alpha 18 Long,Alpha 1 Red
